f,aircraft,origin,destination,takeoff,landing,delays
28,70,50,72,Sun May 07 16:25:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,120_
33,70,72,50,Sun May 07 20:25:00 SGT 2017,Sun May 07 23:10:00 SGT 2017,120_
71,40,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,180_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,40,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,180_
114,104,38,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:20:00 SGT 2017,300_
117,107,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,360_
128,33,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,300_
134,33,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,300_
137,38,49,67,Sun May 07 11:05:00 SGT 2017,Sun May 07 13:45:00 SGT 2017,420_
212,124,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,420_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,240_
221,130,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,240_
243,94,49,57,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,180_
322,39,79,60,Sun May 07 16:40:00 SGT 2017,Sun May 07 18:20:00 SGT 2017,120_
324,39,60,50,Sun May 07 19:20:00 SGT 2017,Sun May 07 21:30:00 SGT 2017,120_
377,115,79,49,Sun May 07 11:55:00 SGT 2017,Sun May 07 15:35:00 SGT 2017,120_
489,94,36,49,Sun May 07 09:45:00 SGT 2017,Sun May 07 11:05:00 SGT 2017,360_
524,50,64,49,Sat May 06 21:35:00 SGT 2017,Sat May 06 23:30:00 SGT 2017,1080_
525,23,25,50,Sun May 07 16:20:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,360_
527,23,49,25,Sun May 07 11:00:00 SGT 2017,Sun May 07 13:50:00 SGT 2017,420_
532,27,49,25,Sun May 07 15:00:00 SGT 2017,Sun May 07 17:50:00 SGT 2017,180_
545,10,63,49,Sun May 07 10:00:00 SGT 2017,Sun May 07 10:50:00 SGT 2017,420_
591,23,2,49,Sat May 06 18:35:00 SGT 2017,Sun May 07 06:10:00 SGT 2017,660_
603,137,41,49,Sun May 07 13:55:00 SGT 2017,Sun May 07 15:45:00 SGT 2017,120_
620,137,49,27,Sun May 07 16:45:00 SGT 2017,Sun May 07 19:40:00 SGT 2017,120_
701,140,49,30,Sun May 07 15:45:00 SGT 2017,Sun May 07 18:35:00 SGT 2017,180_
730,26,50,25,Sun May 07 14:30:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,240_
743,26,25,50,Sun May 07 18:55:00 SGT 2017,Sun May 07 21:45:00 SGT 2017,240_
745,27,25,50,Sun May 07 13:50:00 SGT 2017,Sun May 07 16:40:00 SGT 2017,480_
777,95,49,46,Sun May 07 16:30:00 SGT 2017,Sun May 07 19:15:00 SGT 2017,120_
992,115,49,78,Sun May 07 14:35:00 SGT 2017,Sun May 07 17:25:00 SGT 2017,240_
1019,26,31,50,Sun May 07 13:50:00 SGT 2017,Sun May 07 15:40:00 SGT 2017,120_
1057,4,50,34,Sun May 07 15:05:00 SGT 2017,Sun May 07 17:30:00 SGT 2017,180_
1069,4,34,50,Sun May 07 18:20:00 SGT 2017,Sun May 07 20:25:00 SGT 2017,180_
1080,33,31,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,300_
1084,4,50,27,Sun May 07 21:10:00 SGT 2017,Sun May 07 23:45:00 SGT 2017,180_
1091,76,36,50,Sun May 07 14:10:00 SGT 2017,Sun May 07 15:40:00 SGT 2017,120_
1096,4,27,50,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,180_
1152,41,49,31,Sun May 07 15:50:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,180_
1172,30,31,49,Sun May 07 18:45:00 SGT 2017,Sun May 07 20:15:00 SGT 2017,120_
1180,61,34,49,Sun May 07 14:00:00 SGT 2017,Sun May 07 15:55:00 SGT 2017,120_
1215,41,33,49,Sun May 07 10:15:00 SGT 2017,Sun May 07 11:55:00 SGT 2017,360_
1280,15,62,50,Sun May 07 10:30:00 SGT 2017,Sun May 07 11:55:00 SGT 2017,360_
1284,94,57,49,Sun May 07 17:45:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,180_
1286,50,62,50,Sun May 07 17:10:00 SGT 2017,Sun May 07 18:50:00 SGT 2017,240_
1290,130,68,49,Sun May 07 11:15:00 SGT 2017,Sun May 07 13:25:00 SGT 2017,240_
1406,105,49,6,Sun May 07 16:50:00 SGT 2017,Sun May 07 18:45:00 SGT 2017,120_
1461,46,61,15,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:35:00 SGT 2017,180_
1464,95,12,49,Sun May 07 12:40:00 SGT 2017,Sun May 07 15:30:00 SGT 2017,120_
1465,10,13,49,Sun May 07 18:15:00 SGT 2017,Sun May 07 21:15:00 SGT 2017,540_
1469,10,49,13,Sun May 07 13:55:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,300_
1513,46,15,50,Sun May 07 17:50:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,180_
1555,115,78,58,Sun May 07 18:45:00 SGT 2017,Sun May 07 20:35:00 SGT 2017,240_
1556,115,58,49,Sun May 07 21:20:00 SGT 2017,Sun May 07 22:55:00 SGT 2017,480_
1562,10,63,25,Sat May 06 21:50:00 SGT 2017,Sun May 07 00:15:00 SGT 2017,360_
1613,104,62,50,Sun May 07 18:55:00 SGT 2017,Sun May 07 20:25:00 SGT 2017,120_
1620,104,51,67,Sat May 06 21:00:00 SGT 2017,Sat May 06 22:55:00 SGT 2017,480_
1651,81,49,67,Sun May 07 15:10:00 SGT 2017,Sun May 07 17:40:00 SGT 2017,180_
1670,6,67,49,Sun May 07 18:45:00 SGT 2017,Sun May 07 21:10:00 SGT 2017,120_
1745,41,27,67,Sat May 06 19:05:00 SGT 2017,Sat May 06 21:45:00 SGT 2017,540_
1746,130,27,67,Sun May 07 19:05:00 SGT 2017,Sun May 07 21:45:00 SGT 2017,180_
1876,46,31,61,Sun May 07 11:55:00 SGT 2017,Sun May 07 13:10:00 SGT 2017,240_
2067,112,38,61,Sun May 07 10:35:00 SGT 2017,Sun May 07 12:10:00 SGT 2017,300_
2127,140,30,52,Sun May 07 21:10:00 SGT 2017,Sun May 07 23:15:00 SGT 2017,120_
2140,128,32,25,Sat May 06 22:00:00 SGT 2017,Sun May 07 00:25:00 SGT 2017,360_
2364,40,37,50,Sun May 07 08:10:00 SGT 2017,Sun May 07 10:10:00 SGT 2017,420_

