f,aircraft,origin,destination,takeoff,landing,delays
2,40,48,50,Sun May 07 12:20:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,130_135_140_110_
20,29,72,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 17:55:00 SGT 2017,90_
23,82,32,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 16:40:00 SGT 2017,65_105_60_
28,99,50,72,Sun May 07 16:25:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,130_100_
33,99,72,50,Sun May 07 20:25:00 SGT 2017,Sun May 07 23:10:00 SGT 2017,120_90_
54,104,72,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,160_165_170_175_
71,40,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,135_140_110_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,40,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,120_90_
102,110,68,50,Sun May 07 11:55:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,170_
114,99,38,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:20:00 SGT 2017,295_300_285_
117,38,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,370_390_425_380_
128,44,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,250_
131,134,72,49,Sun May 07 06:35:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,565_505_540_510_
134,44,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,240_
152,127,67,49,Sun May 07 15:00:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,0_65_5_60_
163,45,49,62,Sun May 07 21:05:00 SGT 2017,Sun May 07 22:45:00 SGT 2017,90_30_
185,132,57,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,355_340_365_335_
188,137,62,49,Sun May 07 17:20:00 SGT 2017,Sun May 07 19:10:00 SGT 2017,0_210_180_
194,114,49,62,Sun May 07 17:30:00 SGT 2017,Sun May 07 19:15:00 SGT 2017,20_150_120_
212,115,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,385_390_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,240_260_245_255_
221,127,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,240_230_235_270_
222,77,62,49,Sun May 07 19:00:00 SGT 2017,Sun May 07 21:00:00 SGT 2017,90_
235,114,62,50,Sun May 07 21:05:00 SGT 2017,Sun May 07 22:35:00 SGT 2017,90_60_
243,94,49,57,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,220_190_
253,125,49,62,Sun May 07 16:00:00 SGT 2017,Sun May 07 17:45:00 SGT 2017,240_210_170_
265,130,49,22,Sun May 07 17:45:00 SGT 2017,Sun May 07 22:10:00 SGT 2017,90_
271,41,62,49,Sun May 07 15:20:00 SGT 2017,Sun May 07 17:10:00 SGT 2017,80_35_55_330_
274,118,62,50,Sun May 07 15:05:00 SGT 2017,Sun May 07 16:30:00 SGT 2017,65_70_40_
287,94,14,49,Sun May 07 12:20:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,480_
295,133,61,14,Sun May 07 09:50:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,485_490_495_
300,133,14,61,Sun May 07 12:15:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,480_
327,116,49,14,Sun May 07 10:00:00 SGT 2017,Sun May 07 11:20:00 SGT 2017,485_490_475_
377,142,79,49,Sun May 07 11:55:00 SGT 2017,Sun May 07 15:35:00 SGT 2017,210_115_135_
378,142,60,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,320_250_235_255_
