f,aircraft,origin,destination,takeoff,landing,delays
2,44,48,50,Sun May 07 12:20:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,115_120_140_
20,29,72,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 17:55:00 SGT 2017,90_
23,106,32,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 16:40:00 SGT 2017,65_50_95_
28,99,50,72,Sun May 07 16:25:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,130_115_
33,101,72,50,Sun May 07 20:25:00 SGT 2017,Sun May 07 23:10:00 SGT 2017,120_90_
36,38,50,67,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,465_435_
54,99,72,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,195_185_175_
71,44,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,140_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,44,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,120_
99,127,67,49,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,210_195_275_190_
102,122,68,50,Sun May 07 11:55:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,170_
114,104,38,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:20:00 SGT 2017,295_300_285_
117,126,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,370_390_395_380_365_
128,43,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,280_265_250_
131,134,72,49,Sun May 07 06:35:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,560_480_545_510_
134,33,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,240_390_270_
152,134,67,49,Sun May 07 15:00:00 SGT 2017,Sun May 07 17:20:00 SGT 2017,270_
156,134,49,72,Sun May 07 20:30:00 SGT 2017,Sun May 07 23:30:00 SGT 2017,120_90_
163,42,49,62,Sun May 07 21:05:00 SGT 2017,Sun May 07 22:45:00 SGT 2017,120_
185,140,57,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,275_390_350_
188,126,62,49,Sun May 07 17:20:00 SGT 2017,Sun May 07 19:10:00 SGT 2017,240_0_210_180_300_
192,37,62,49,Sun May 07 07:30:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,485_470_555_
194,77,49,62,Sun May 07 17:30:00 SGT 2017,Sun May 07 19:15:00 SGT 2017,120_75_
200,126,49,62,Sun May 07 14:30:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,260_330_300_255_
212,136,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,385_405_395_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,260_245_250_255_
221,128,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,240_275_280_235_300_270_
222,75,62,49,Sun May 07 19:00:00 SGT 2017,Sun May 07 21:00:00 SGT 2017,120_90_
235,126,62,50,Sun May 07 21:05:00 SGT 2017,Sun May 07 22:35:00 SGT 2017,90_
243,94,49,57,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,270_
253,121,49,62,Sun May 07 16:00:00 SGT 2017,Sun May 07 17:45:00 SGT 2017,210_170_
263,130,27,49,Sun May 07 14:05:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,80_100_85_95_
265,130,49,22,Sun May 07 17:45:00 SGT 2017,Sun May 07 22:10:00 SGT 2017,90_
271,42,62,49,Sun May 07 15:20:00 SGT 2017,Sun May 07 17:10:00 SGT 2017,330_300_
