f,aircraft,origin,destination,takeoff,landing,delays
2,40,48,50,Sun May 07 12:20:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,115_120_
20,29,72,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 17:55:00 SGT 2017,70_
23,128,32,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 16:40:00 SGT 2017,100_85_120_
28,142,50,72,Sun May 07 16:25:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,115_110_
33,142,72,50,Sun May 07 20:25:00 SGT 2017,Sun May 07 23:10:00 SGT 2017,100_70_75_
36,68,50,67,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,435_430_
51,139,67,50,Sun May 07 14:30:00 SGT 2017,Sun May 07 16:55:00 SGT 2017,480_35_25_475_
54,139,72,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,180_190_
71,40,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,120_140_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,40,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,100_120_
99,129,67,49,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,455_170_
102,142,68,50,Sun May 07 11:55:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,185_170_205_175_
114,98,38,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:20:00 SGT 2017,305_290_300_285_
117,89,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,470_455_775_
124,128,32,49,Sun May 07 07:25:00 SGT 2017,Sun May 07 08:55:00 SGT 2017,635_
128,44,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,290_265_255_
131,139,72,49,Sun May 07 06:35:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,465_470_460_
134,33,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,390_280_
137,127,49,67,Sun May 07 11:05:00 SGT 2017,Sun May 07 13:45:00 SGT 2017,480_675_670_
156,134,49,72,Sun May 07 20:30:00 SGT 2017,Sun May 07 23:30:00 SGT 2017,0_115_105_
163,45,49,62,Sun May 07 21:05:00 SGT 2017,Sun May 07 22:45:00 SGT 2017,105_10_
185,132,57,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,390_
194,116,49,62,Sun May 07 17:30:00 SGT 2017,Sun May 07 19:15:00 SGT 2017,115_100_
200,116,49,62,Sun May 07 14:30:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,240_295_265_235_
209,89,62,49,Sun May 07 20:20:00 SGT 2017,Sun May 07 22:15:00 SGT 2017,0_115_
212,136,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,385_390_395_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,240_235_
221,109,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,290_340_300_
222,75,62,49,Sun May 07 19:00:00 SGT 2017,Sun May 07 21:00:00 SGT 2017,105_
243,134,49,57,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,235_
253,116,49,62,Sun May 07 16:00:00 SGT 2017,Sun May 07 17:45:00 SGT 2017,235_205_
263,129,27,49,Sun May 07 14:05:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,55_120_60_
265,129,49,22,Sun May 07 17:45:00 SGT 2017,Sun May 07 22:10:00 SGT 2017,80_110_
271,41,62,49,Sun May 07 15:20:00 SGT 2017,Sun May 07 17:10:00 SGT 2017,0_375_335_
274,96,62,50,Sun May 07 15:05:00 SGT 2017,Sun May 07 16:30:00 SGT 2017,35_70_40_445_
287,134,14,49,Sun May 07 12:20:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,465_
295,118,61,14,Sun May 07 09:50:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,480_
300,127,14,61,Sun May 07 12:15:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,470_
