f,aircraft,origin,destination,takeoff,landing,delays
2,40,48,50,Sun May 07 12:20:00 SGT 2017,Sun May 07 15:10:00 SGT 2017,140_
20,29,72,49,Sun May 07 15:15:00 SGT 2017,Sun May 07 17:55:00 SGT 2017,90_
28,104,50,72,Sun May 07 16:25:00 SGT 2017,Sun May 07 19:25:00 SGT 2017,85_
33,104,72,50,Sun May 07 20:25:00 SGT 2017,Sun May 07 23:10:00 SGT 2017,90_
36,77,50,67,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,420_
54,98,72,50,Sun May 07 11:40:00 SGT 2017,Sun May 07 14:25:00 SGT 2017,170_
71,40,50,48,Sun May 07 15:55:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,140_
73,24,36,49,Sat May 06 20:25:00 SGT 2017,Sat May 06 21:40:00 SGT 2017,1160_
84,40,48,50,Sun May 07 20:15:00 SGT 2017,Sun May 07 23:00:00 SGT 2017,120_
99,77,67,49,Sun May 07 11:45:00 SGT 2017,Sun May 07 14:15:00 SGT 2017,570_
102,110,68,50,Sun May 07 11:55:00 SGT 2017,Sun May 07 14:10:00 SGT 2017,170_
114,56,38,50,Sun May 07 10:55:00 SGT 2017,Sun May 07 12:20:00 SGT 2017,280_
117,6,62,49,Sun May 07 09:20:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,375_
128,33,50,67,Sun May 07 13:45:00 SGT 2017,Sun May 07 16:15:00 SGT 2017,250_
131,64,72,49,Sun May 07 06:35:00 SGT 2017,Sun May 07 09:20:00 SGT 2017,565_
134,33,67,50,Sun May 07 17:15:00 SGT 2017,Sun May 07 19:35:00 SGT 2017,240_
156,134,49,72,Sun May 07 20:30:00 SGT 2017,Sun May 07 23:30:00 SGT 2017,180_
185,132,57,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 12:35:00 SGT 2017,305_
188,19,62,49,Sun May 07 17:20:00 SGT 2017,Sun May 07 19:10:00 SGT 2017,180_
212,115,37,49,Sun May 07 08:35:00 SGT 2017,Sun May 07 10:40:00 SGT 2017,390_
215,28,62,49,Sun May 07 11:40:00 SGT 2017,Sun May 07 13:30:00 SGT 2017,235_
221,65,49,27,Sun May 07 14:15:00 SGT 2017,Sun May 07 17:15:00 SGT 2017,240_
222,75,62,49,Sun May 07 19:00:00 SGT 2017,Sun May 07 21:00:00 SGT 2017,90_
243,134,49,57,Sun May 07 15:00:00 SGT 2017,Sun May 07 16:45:00 SGT 2017,180_
253,135,49,62,Sun May 07 16:00:00 SGT 2017,Sun May 07 17:45:00 SGT 2017,115_
287,94,14,49,Sun May 07 12:20:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,480_
295,133,61,14,Sun May 07 09:50:00 SGT 2017,Sun May 07 11:15:00 SGT 2017,490_
300,133,14,61,Sun May 07 12:15:00 SGT 2017,Sun May 07 13:40:00 SGT 2017,480_
327,94,49,14,Sun May 07 10:00:00 SGT 2017,Sun May 07 11:20:00 SGT 2017,490_
377,142,79,49,Sun May 07 11:55:00 SGT 2017,Sun May 07 15:35:00 SGT 2017,130_
378,8,60,49,Sun May 07 10:50:00 SGT 2017,Sun May 07 13:20:00 SGT 2017,230_
442,132,57,77,Sun May 07 19:40:00 SGT 2017,Sun May 07 22:25:00 SGT 2017,90_
471,135,57,49,Sun May 07 13:00:00 SGT 2017,Sun May 07 14:45:00 SGT 2017,140_
485,132,49,57,Sun May 07 16:50:00 SGT 2017,Sun May 07 18:40:00 SGT 2017,100_
489,103,36,49,Sun May 07 09:45:00 SGT 2017,Sun May 07 11:05:00 SGT 2017,370_
525,23,25,50,Sun May 07 16:20:00 SGT 2017,Sun May 07 19:05:00 SGT 2017,330_
532,28,49,25,Sun May 07 15:00:00 SGT 2017,Sun May 07 17:50:00 SGT 2017,195_
545,107,63,49,Sun May 07 10:00:00 SGT 2017,Sun May 07 10:50:00 SGT 2017,380_
