f,delays
591,650_655_
1745,390_
73,1160_
1895,0_240_
1728,330_
1562,240_0_
2140,240_0_
2069,465_470_460_
2344,485_490_
131,565_505_540_510_
2364,435_420_425_415_
212,385_390_
1426,525_
1260,535_520_525_
117,370_390_425_380_
1607,370_375_360_365_
489,480_370_435_
295,485_490_495_
327,485_490_475_
545,450_440_380_445_
1280,345_330_
2067,305_300_
185,355_340_365_335_
378,320_250_235_255_
1758,260_265_255_
114,295_300_285_
557,330_
1080,295_285_270_
1005,450_420_
1433,600_540_
587,245_250_
1157,195_180_265_175_
54,160_165_170_175_
215,240_260_245_255_
1133,215_200_185_220_190_
723,180_200_
1096,195_180_170_175_
102,170_
377,210_115_135_
1045,450_
1876,230_235_
1397,480_570_510_
300,480_
2,130_135_140_110_
287,480_
1001,240_170_235_205_175_
876,105_190_175_
1813,320_330_
1464,105_90_110_
983,245_175_
471,180_170_
575,210_
594,290_280_
1300,240_150_140_125_
2297,280_
1448,260_250_255_
128,250_
1019,80_85_
603,185_190_
1469,360_
1180,480_145_100_165_140_
1229,300_
1497,220_
906,90_45_
1091,100_105_90_95_
1333,70_
221,240_230_235_270_
1272,210_250_
1063,180_390_360_90_140_
992,200_205_
1112,80_55_
1374,180_185_190_
1136,225_185_220_190_
152,0_65_5_60_
243,220_190_
532,225_
1461,170_175_
274,65_70_40_
1057,180_215_
1360,240_
1651,205_
20,90_
23,65_105_60_
271,80_35_55_330_
701,210_
1152,210_185_330_125_
71,135_140_110_
253,240_210_170_
579,135_
947,130_
2290,0_270_
662,55_90_45_
525,330_
28,130_100_
777,180_100_
1436,0_90_
1603,85_105_95_
1041,150_140_
620,210_180_
485,130_150_
1406,70_60_
1261,300_
935,115_120_110_
1286,210_180_
1451,240_
1796,210_
134,240_
555,240_0_270_
188,0_210_180_
910,35_75_45_
1146,240_210_180_
194,20_150_120_
656,90_
1024,90_
1337,90_
265,90_
1284,0_210_180_
1513,150_
1465,540_
1069,0_180_
1172,180_120_90_
1555,180_
1670,90_
614,0_90_
743,210_
1613,150_90_
222,90_
1746,210_180_
961,120_
653,120_
1387,180_
442,150_120_
2258,240_0_
674,90_
1339,0_90_30_
952,120_90_
1799,210_
84,120_90_
33,120_90_
1896,120_90_
1009,0_180_30_
163,90_30_
235,90_60_
1861,120_30_
1084,0_180_
2127,120_
1556,450_
682,0_120_30_
622,0_90_
